,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,title,studio,domestic_gross_x,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross
126455,tt7722258,Genius,Genius,2018,165.0,"Action,Thriller",4.7,747.0,Genius,RAtt.,1400000.0,4300000,2016.0,10.0,"Jun 10, 2016",Genius,"$17,000,000","$1,361,045","$7,265,283"
126499,tt7728220,Tomorrowland,Tomorrowland,2017,70.0,Documentary,6.3,7.0,Tomorrowland,BV,93400000.0,115700000,2015.0,23.0,"May 22, 2015",Tomorrowland,"$170,000,000","$93,436,322","$206,627,518"
127201,tt7784604,Hereditary,Hereditary,2018,127.0,"Drama,Horror,Mystery",7.3,151571.0,Hereditary,A24,44100000.0,35300000,2018.0,56.0,"Jun 8, 2018",Hereditary,"$10,000,000","$44,069,456","$70,133,905"
127215,tt7785302,Spotlight,Spotlight,2015,99.0,Drama,8.0,12.0,Spotlight,ORF,45100000.0,53200000,2015.0,34.0,"Nov 6, 2015",Spotlight,"$20,000,000","$45,055,776","$92,088,460"
127367,tt7799386,Conviction,Une intime conviction,2018,110.0,Drama,7.0,234.0,Conviction,FoxS,6800000.0,2900000,2010.0,28.0,"Oct 15, 2010",Conviction,"$12,500,000","$6,797,696","$11,826,980"
128097,tt7867360,Abduction,Abduction,2019,106.0,"Action,Sci-Fi",6.1,1592.0,Abduction,LGF,28100000.0,54000000,2011.0,96.0,"Sep 23, 2011",Abduction,"$35,000,000","$28,087,155","$86,648,359"
128518,tt7906260,Tooth Fairy,Toof,2019,86.0,Horror,2.6,64.0,Tooth Fairy,Fox,60000000.0,52400000,2010.0,23.0,"Jan 22, 2010",Tooth Fairy,"$48,000,000","$60,022,256","$112,610,386"
129145,tt7959026,The Mule,The Mule,2018,116.0,"Crime,Drama,Thriller",7.1,58955.0,The Mule,WB,103800000.0,68700000,2018.0,100.0,"Dec 14, 2018",The Mule,"$50,000,000","$103,804,407","$170,857,676"
129523,tt7990108,Remember Me,Remember Me,2019,,Thriller,,,Remember Me,Sum.,19100000.0,37000000,2010.0,51.0,"Mar 12, 2010",Remember Me,"$16,000,000","$19,068,240","$56,506,120"
130109,tt8045822,Paranoia,Paranoia,2015,84.0,Horror,,,Paranoia,Rela.,7400000.0,6400000,2013.0,19.0,"Aug 16, 2013",Paranoia,"$40,000,000","$7,388,654","$16,340,767"
130487,tt8083476,Chloe,Chloe,2017,6.0,"Documentary,Family",,,Chloe,SPC,3100000.0,8600000,2010.0,97.0,"Mar 26, 2010",Chloe,"$13,000,000","$3,075,255","$11,831,131"
132060,tt8239184,Trance,Trance,2018,,Documentary,,,Trance,FoxS,2300000.0,21900000,2013.0,71.0,"Apr 5, 2013",Trance,"$16,000,000","$2,322,593","$22,594,052"
132180,tt8254042,Monsters,Monsters,2018,97.0,"Drama,Thriller",,,Monsters,Magn.,237000.0,4000000,2010.0,50.0,"Oct 29, 2010",Monsters,"$500,000","$237,301","$5,639,730"
132358,tt8269544,Inside Out,Inside Out,2018,,,,,Inside Out,BV,356500000.0,501100000,2015.0,98.0,"Jun 19, 2015",Inside Out,"$175,000,000","$356,461,711","$854,235,992"
132396,tt8274146,One Day,Egy nap,2018,99.0,Drama,7.2,501.0,One Day,Focus,13800000.0,45500000,2011.0,84.0,"Aug 19, 2011",One Day,"$15,000,000","$13,843,771","$59,168,692"
132869,tt8323598,Mama,Mama,2017,,Drama,,,Mama,Uni.,71600000.0,74800000,2013.0,9.0,"Jan 18, 2013",Mama,"$15,000,000","$71,628,180","$148,095,566"
132871,tt8323644,Unfinished Business,Unfinished Business,2017,,Romance,,,Unfinished Business,Fox,10200000.0,4200000,2015.0,32.0,"Mar 6, 2015",Unfinished Business,"$35,000,000","$10,219,501","$13,214,051"
132884,tt8324550,Unfinished Business,Unfinished Business,2017,,Romance,,,Unfinished Business,Fox,10200000.0,4200000,2015.0,32.0,"Mar 6, 2015",Unfinished Business,"$35,000,000","$10,219,501","$13,214,051"
132924,tt8327742,Paranoia,Paranoia,2018,,Drama,,,Paranoia,Rela.,7400000.0,6400000,2013.0,19.0,"Aug 16, 2013",Paranoia,"$40,000,000","$7,388,654","$16,340,767"
133270,tt8358722,Brave,Brave,2014,,Drama,,,Brave,BV,237300000.0,303200000,2012.0,77.0,"Jun 22, 2012",Brave,"$185,000,000","$237,282,182","$554,606,532"
133757,tt8399650,Upside Down,Upside Down,2015,,Comedy,,,Upside Down,MNE,105000.0,8000000,2013.0,4.0,"Mar 15, 2013",Upside Down,"$50,000,000","$102,118","$26,387,039"
134089,tt8430862,Tag,Tag,2017,46.0,"Action,Comedy",,,Tag,WB (NL),54700000.0,23400000,2018.0,50.0,"Jun 15, 2018",Tag,"$28,000,000","$54,730,625","$77,026,186"
135281,tt8558276,Robin Hood,Robin Hood,2017,60.0,"Action,Adventure,History",,,Robin Hood,Uni.,105300000.0,216400000,2010.0,39.0,"May 14, 2010",Robin Hood,"$210,000,000","$105,487,148","$322,459,006"
136253,tt8672656,Get Hard,Get Hard,2018,90.0,Comedy,,,Get Hard,WB,90400000.0,21400000,2015.0,97.0,"Mar 27, 2015",Get Hard,"$40,000,000","$90,411,453","$106,511,453"
